Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,7,1,289,36,33,239,30,0,2,1,4
0,0,0,0,7,1,118,13,50,239,31,0,1,0,0
0,0,0,1,7,2,179,51,38,239,31,0,0,0,2
1,0,0,0,7,3,279,5,39,239,24,0,2,0,4
0,0,0,1,7,3,289,36,33,239,30,0,2,1,2
0,0,0,1,7,4,179,51,38,239,31,0,0,0,2
0,0,0,1,7,4,361,52,28,239,27,0,1,4,8
0,0,0,1,7,4,260,50,36,239,23,0,4,0,4
0,0,1,0,7,0,155,12,34,239,25,0,2,0,40
0,0,0,1,7,0,235,11,37,239,29,1,1,1,8
1,0,0,0,7,0,260,50,36,239,23,0,4,0,8
1,0,0,0,7,1,260,50,36,239,23,0,4,0,8
1,0,0,0,7,2,260,50,36,239,23,0,4,0,8
1,0,0,0,7,2,179,51,38,239,31,0,0,0,1
0,0,0,1,7,2,179,51,38,239,31,0,0,0,4
1,0,0,0,7,4,246,25,41,239,23,0,0,0,8
0,0,0,1,7,4,179,51,38,239,31,0,0,0,2
0,0,1,0,7,0,179,51,38,239,31,0,0,0,8
1,0,0,0,7,3,189,29,33,239,25,0,2,2,8
0,0,0,1,8,2,248,25,47,205,32,0,2,1,2
1,0,0,0,8,2,330,16,28,205,25,1,0,0,8
1,0,0,0,8,0,179,51,38,205,31,0,0,0,1
1,0,0,0,8,0,361,52,28,205,27,0,1,4,40
0,0,0,1,8,4,260,50,36,205,23,0,4,0,4
0,0,1,0,8,0,289,36,33,205,30,0,2,1,8
0,0,0,1,8,0,361,52,28,205,27,0,1,4,7
0,0,0,1,8,1,289,36,33,205,30,0,2,1,1
0,0,0,1,8,2,157,27,29,205,22,0,0,0,4
0,0,1,0,8,2,289,36,33,205,30,0,2,1,8
0,0,0,1,8,4,179,51,38,205,31,0,0,0,2
0,0,1,0,8,0,179,51,38,205,31,0,0,0,8
0,0,1,0,8,3,235,29,48,205,33,0,1,5,8
0,0,0,1,8,3,235,11,37,205,29,1,1,1,4
0,0,1,0,8,0,235,29,48,205,33,0,1,5,8
0,0,0,1,8,0,179,51,38,205,31,0,0,0,2
0,0,0,1,8,0,361,52,28,205,27,0,1,4,1
0,0,0,1,8,1,289,36,33,205,30,0,2,1,8
1,0,0,0,8,3,291,50,32,205,23,0,0,0,4
0,0,0,1,8,4,235,29,48,205,33,0,1,5,8
0,0,0,1,8,4,260,50,36,205,23,0,4,0,4
0,0,0,1,9,1,184,42,27,241,21,0,0,0,2
0,0,0,1,9,0,118,10,37,241,28,0,0,0,4
0,0,0,1,9,1,179,51,38,241,31,0,0,0,4
0,0,1,0,9,1,235,20,43,241,38,0,1,0,8
0,0,0,1,9,2,155,12,34,241,25,0,2,0,2
0,0,0,1,9,6,118,10,37,241,28,0,0,0,3
0,0,0,1,9,0,179,51,38,241,31,0,0,0,3
0,0,0,1,9,3,291,31,40,241,25,0,1,1,4
0,0,0,1,9,4,260,50,36,241,23,0,4,0,8
1,0,0,0,9,0,291,31,40,241,25,0,1,1,32
0,0,0,0,9,0,260,50,36,241,23,0,4,0,0
0,0,0,0,9,0,225,26,28,241,24,0,1,2,0
0,0,0,1,9,1,225,26,28,241,24,0,1,2,2
0,0,0,1,9,1,118,10,37,241,28,0,0,0,2
0,0,0,0,9,1,289,36,33,241,30,0,2,1,0
0,0,0,0,9,1,118,13,50,241,31,0,1,0,0
0,0,1,0,9,2,225,26,28,241,24,0,1,2,3
0,0,0,1,9,2,179,51,38,241,31,0,0,0,3
0,0,0,0,9,2,369,17,31,241,25,0,3,0,0
0,0,0,1,9,4,248,25,47,241,32,0,2,1,1
0,0,0,1,9,4,179,51,38,241,31,0,0,0,3
0,0,0,1,9,4,260,50,36,241,23,0,4,0,4
0,0,0,1,10,1,179,51,38,253,31,0,0,0,3
0,0,0,1,10,1,118,10,37,253,28,0,0,0,3
0,0,0,0,10,2,118,13,50,253,31,0,1,0,0
0,0,0,1,10,3,179,26,30,253,19,1,0,0,1
0,0,0,1,10,4,179,51,38,253,31,0,0,0,3
0,0,0,1,10,4,225,26,28,253,24,0,1,2,3
0,0,0,1,10,1,118,10,37,253,28,0,0,0,3
0,0,0,1,10,2,225,26,28,253,24,0,1,2,2
0,0,0,1,10,2,248,25,47,253,32,0,2,1,2
0,0,0,1,10,3,291,31,40,253,25,0,1,1,5
0,0,0,1,10,2,179,51,38,253,31,0,0,0,8
0,0,0,1,10,2,225,26,28,253,24,0,1,2,3
0,0,1,0,10,3,260,50,36,253,23,0,4,0,16
1,0,0,0,10,1,291,31,40,253,25,0,1,1,8
0,0,0,1,10,1,225,26,28,253,24,0,1,2,2
0,0,0,1,10,2,289,36,33,253,30,0,2,1,8
0,0,0,1,10,4,361,52,28,253,27,0,1,4,1
0,0,0,1,10,4,260,50,36,253,23,0,4,0,3
0,0,0,1,11,3,179,51,38,306,31,0,0,0,1
0,0,0,1,11,2,225,26,28,306,24,0,1,2,1
1,0,0,0,11,3,179,51,38,306,31,0,0,0,8
0,0,1,0,11,3,179,22,40,306,22,1,2,0,8
0,0,0,1,11,3,291,31,40,306,25,0,1,1,5
1,0,0,0,11,0,155,12,34,306,25,0,2,0,32
0,0,0,1,11,0,189,29,33,306,25,0,2,2,8
1,0,0,0,11,0,291,31,40,306,25,0,1,1,40
0,0,0,1,11,2,225,26,28,306,24,0,1,2,1
1,0,0,0,11,4,155,12,34,306,25,0,2,0,8
0,0,0,1,11,2,225,26,28,306,24,0,1,2,3
0,0,1,0,11,2,179,22,40,306,22,1,2,0,8
